deidentifiedSpecimenName,AA+TT,AC+GT,AG+CT,AT+AT,CA+TG,CC+GG,CG+CG,GA+TC,GC+GC,TA+TA,MSIstatus
XRN:L0NJBA,2,11,19,0,16,20,8,9,22,4,MSS
XRN:0GUKC7,1,15,13,0,17,21,10,12,14,0,MSS
XRN:7EFB7B,20,9,10,28,11,4,0,8,4,28,MSS
XRN:R6CNNX,15,15,16,16,15,1,0,11,4,22,MSS
XRN:LMUPPK,19,12,7,28,11,4,0,2,4,36,MSS
XRN:SKX2H1,34,12,9,14,9,1,2,6,2,18,MSS
XRN:21SGVW,20,10,19,14,13,2,0,14,8,14,MSS
XRN:NMRAA2,10,10,14,22,14,9,2,7,12,26,MSS
XRN:1TA692,14,10,14,22,14,8,0,13,4,18,MSS
XRN:DA14P7,23,8,14,10,11,3,0,16,2,6,MSS
XRN:75Q7AT,30,7,12,18,6,2,2,11,2,20,MSS
XRN:NU188W,19,9,11,22,14,4,0,8,8,20,MSS
XRN:W0CC3K,17,14,13,8,17,8,0,14,4,4,MSS
XRN:G03C7K,18,12,11,16,14,6,2,10,4,14,MSS
XRN:660BQ5,14,4,19,8,8,12,4,17,10,6,MSS
XRN:XT6UEF,7,6,18,16,14,13,2,15,14,12,MSS
XRN:4AYXB8,16,14,11,18,10,4,4,6,6,26,MSS
XRN:RNMGQX,8,13,17,8,14,13,2,10,10,14,MSS
XRN:21T9XF,12,15,19,14,13,8,2,10,8,26,MSS
XRN:V6J0DS,19,7,7,32,14,7,0,8,6,22,MSS
XRN:4415WJ,12,6,22,12,8,10,2,19,6,14,MSS
XRN:VWK8U1,14,12,9,30,16,3,2,11,4,24,MSS
XRN:K8EWJ0,23,7,11,20,10,1,2,12,4,16,MSS
XRN:9UJAU4,24,5,14,18,8,5,2,15,4,12,MSS
XRN:5LFW72,13,12,16,18,13,6,0,12,6,20,MSS
XRN:J1VSPQ,7,9,16,10,11,18,6,20,4,4,MSS
XRN:N2KK3T,24,9,7,22,15,6,0,5,8,20,MSS
XRN:24PHK1,14,11,13,12,17,7,4,10,12,10,MSS
XRN:S9Y7XV,19,9,15,16,9,9,0,13,2,18,MSS
XRN:U6YA9Q,12,6,11,18,13,14,6,9,16,14,MSS
XRN:5YJ65N,20,13,14,16,8,6,2,9,2,24,MSS
XRN:FS69FA,8,11,16,6,19,10,10,9,24,4,MSS
XRN:JEFEKQ,15,13,15,18,15,5,0,10,6,20,MSS
XRN:C1AUPU,12,8,16,16,14,11,0,14,10,12,MSS
XRN:A5ESV1,18,10,8,22,15,9,0,7,6,18,MSS
XRN:C0XEFJ,14,10,10,22,17,7,4,11,10,14,MSS
XRN:BUC478,9,14,11,22,20,7,2,9,10,18,MSS
XRN:TY2DVF,21,5,11,30,8,5,0,10,4,26,MSS
XRN:A9L07F,14,10,17,6,15,13,2,12,12,6,MSS
XRN:9SNS37,17,11,14,14,11,9,0,8,6,18,MSS
XRN:T4CE6S,14,9,12,18,11,11,4,13,6,16,MSS
XRN:2DKEL4,10,8,17,16,12,15,0,11,8,18,MSS
XRN:DCBAPR,5,10,19,2,18,16,8,11,24,2,MSS
XRN:F39T63,17,14,14,10,11,8,4,12,4,14,MSS
XRN:JRUH2G,14,9,11,14,15,11,4,11,10,10,MSS
XRN:075QDE,17,11,12,12,13,10,2,12,4,10,MSS
XRN:FVL6JA,15,14,11,8,16,9,4,6,12,10,MSS
XRN:B7CA85,16,8,17,14,12,9,0,12,8,14,MSS
XRN:8NEXPN,9,8,20,6,8,13,8,15,12,12,MSS
XRN:KSSVBM,11,9,17,22,11,5,2,16,4,20,MSS
XRN:AW9LA7,8,16,13,6,11,13,12,11,10,12,MSS
XRN:T0QCKD,16,10,16,18,5,10,2,13,0,26,MSS
XRN:MPCYS0,20,14,11,14,11,5,2,6,4,22,MSS
XRN:FY0EDL,12,9,14,10,14,13,2,7,14,12,MSS
XRN:4Q6EH1,11,10,22,4,15,10,2,14,14,8,MSS
XRN:VGD7DC,21,6,10,24,12,6,2,12,6,16,MSS
XRN:S7062Q,14,14,11,18,15,8,4,12,4,16,MSS
XRN:WB3BAF,14,13,17,8,15,8,0,14,6,10,MSS
XRN:JEJRAL,11,6,15,8,14,14,8,15,16,2,MSS
XRN:BXV8QA,6,10,15,12,21,12,2,11,18,6,MSS
XRN:XEL406,8,10,16,10,19,14,2,12,16,6,MSS
XRN:BWPST8,11,11,18,10,17,5,4,16,12,8,MSS
XRN:YYQQME,12,8,23,8,12,7,2,20,8,6,MSS
XRN:JYCNF8,11,10,14,10,15,15,4,12,12,8,MSS
XRN:BM94H5,3,9,21,8,16,9,8,18,20,4,MSS
XRN:RP5AX5,16,10,12,20,15,7,2,14,4,12,MSS
XRN:P7R6SB,13,13,18,10,14,8,6,12,12,14,MSS
XRN:3GJLL5,19,16,15,2,18,7,6,7,14,8,MSS
XRN:NQJ1G5,10,15,16,14,21,8,6,11,16,12,MSS
XRN:UAWPBC,6,13,13,8,18,17,8,14,14,2,MSS
XRN:W5GEWP,7,9,18,10,14,14,4,15,12,8,MSS
XRN:M1VNF3,6,13,16,4,16,16,2,7,14,10,MSS
XRN:D7VTES,11,12,11,14,18,14,4,8,14,12,MSS
XRN:42XNC9,14,9,21,14,9,5,0,13,8,22,MSS
XRN:6R18WJ,8,10,16,6,15,18,6,14,12,4,MSS
XRN:5SJQ7Q,4,9,14,6,14,18,10,13,16,2,MSS
XRN:QU97T3,5,17,9,6,24,12,14,6,26,2,MSS
XRN:WQR98C,15,11,9,18,21,9,0,14,4,4,MSS
XRN:LNBE9P,20,4,17,0,8,8,6,14,14,0,MSS
XRN:7XMCSA,16,18,14,26,20,8,2,11,6,26,MSS
XRN:D3R55B,17,8,14,18,9,7,2,15,2,16,MSS
XRN:CFTDTX,15,12,20,12,7,2,2,12,6,24,MSS
XRN:GHF4YT,17,10,13,24,6,3,2,7,4,34,MSS
XRN:HTK8YS,11,13,15,12,11,10,8,14,8,14,MSS
XRN:T52CP1,25,12,7,12,14,5,2,7,4,10,MSS
